date,operator_id,station_id,connector_id,connector_status,current_a,voltage_v,power_w,report_time,grid_id,temperature_c,rainfall_mm,district_nev_penetration_rate,district_ev_sales,district_bev_ratio,district_operating_ev_ratio,is_major_holiday,has_major_event,is_workday,grid_area_km2,district_name,grid_total_charging_facilities,grid_slow_charging_facilities,grid_fast_charging_facilities,grid_super_charging_facilities,grid_super_charging_stations,grid_public_fast_charging_stations,grid_public_slow_charging_stations
2020-10-18,589179428,20190000000000000003,900200000000000052,1,117.132,303.222,36046.667,2020-10-18 04:15:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,32.367,322.250,10565.000,2020-10-18 04:15:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,129.842,310.107,40262.000,2020-10-18 04:30:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,129.884,310.820,40367.333,2020-10-18 04:45:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,129.890,312.293,40561.333,2020-10-18 05:00:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,129.927,313.700,40754.000,2020-10-18 05:15:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,135.406,314.707,42608.000,2020-10-18 05:30:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,135.800,316.373,42958.000,2020-10-18 05:45:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,89.462,324.533,28876.667,2020-10-18 06:00:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000058,1,124.858,319.450,38765.000,2020-10-18 06:15:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000042,1,90.695,355.450,32265.000,2020-10-18 06:30:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000058,1,149.790,313.407,46944.286,2020-10-18 06:30:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000042,1,95.390,357.550,34105.000,2020-10-18 06:45:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000058,1,149.870,315.440,47272.000,2020-10-18 06:45:00.000,L2FT01-FTJ001,15.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000058,1,135.217,319.920,43134.000,2020-10-18 07:00:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000058,1,24.390,333.200,8130.000,2020-10-18 07:15:00.000,L2FT01-FTJ001,14.90,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000043,1,72.291,360.250,25948.750,2020-10-18 08:15:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,97.443,352.071,34300.000,2020-10-18 11:30:00.000,L2FT01-FTJ001,12.78,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,97.366,354.053,34468.667,2020-10-18 11:45:00.000,L2FT01-FTJ001,12.78,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,97.348,356.433,34694.667,2020-10-18 12:00:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,62.557,355.200,22228.667,2020-10-18 12:15:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,39.949,354.771,14184.286,2020-10-18 12:30:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000038,1,129.830,310.733,40339.167,2020-10-18 13:15:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,95.674,382.831,36621.538,2020-10-18 13:15:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000038,1,129.890,311.467,40454.000,2020-10-18 13:30:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,62.456,385.100,24742.000,2020-10-18 13:30:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000038,1,129.890,313.647,40737.333,2020-10-18 13:45:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000038,1,129.890,314.667,40870.000,2020-10-18 14:00:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000040,1,129.154,373.727,48433.636,2020-10-18 14:30:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000040,1,126.670,387.420,49073.000,2020-10-18 14:45:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.881,307.780,39974.000,2020-10-18 17:30:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.905,310.627,40348.667,2020-10-18 17:45:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.963,311.400,40467.333,2020-10-18 18:00:00.000,L2FT01-FTJ001,9.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.934,313.060,40674.667,2020-10-18 18:15:00.000,L2FT01-FTJ001,9.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.890,314.686,40872.143,2020-10-18 18:30:00.000,L2FT01-FTJ001,9.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,72.533,286.800,22636.667,2020-10-18 18:45:00.000,L2FT01-FTJ001,9.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,129.941,315.940,41050.667,2020-10-18 18:45:00.000,L2FT01-FTJ001,9.00,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000037,1,123.956,319.280,39570.000,2020-10-18 19:00:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,117.449,311.014,36483.571,2020-10-18 19:00:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,129.842,312.233,40536.667,2020-10-18 19:15:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,129.800,314.253,40785.333,2020-10-18 19:30:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,129.800,315.560,40954.667,2020-10-18 19:45:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000032,1,130.977,310.943,40724.286,2020-10-18 19:45:00.000,L2FT01-FTJ001,9.10,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000032,1,130.472,313.300,40872.000,2020-10-18 20:00:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000057,1,106.940,322.100,34311.429,2020-10-18 20:00:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000032,1,130.271,314.150,40921.429,2020-10-18 20:15:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,34.500,327.100,11280.000,2020-10-18 20:15:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000032,1,117.300,310.050,37076.000,2020-10-18 20:30:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,34.500,330.127,11384.667,2020-10-18 20:30:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,34.500,336.480,11603.333,2020-10-18 20:45:00.000,L2FT01-FTJ001,9.40,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,39.945,344.033,13744.667,2020-10-18 21:00:00.000,L2FT01-FTJ001,9.88,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,50.144,352.507,17696.000,2020-10-18 21:15:00.000,L2FT01-FTJ001,9.88,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000052,1,51.250,359.837,18463.750,2020-10-18 21:30:00.000,L2FT01-FTJ001,9.88,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000036,1,101.787,392.353,39862.667,2020-10-18 22:00:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000053,1,150.645,313.350,47200.000,2020-10-18 22:00:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000036,1,53.123,403.153,21405.333,2020-10-18 22:15:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000053,1,114.134,320.000,36400.000,2020-10-18 22:15:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,87.504,304.720,26746.000,2020-10-18 22:45:00.000,L2FT01-FTJ001,10.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000034,1,108.382,307.190,33287.000,2020-10-18 23:00:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,98.690,308.600,30451.333,2020-10-18 23:00:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000034,1,105.378,309.047,32560.667,2020-10-18 23:15:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,98.690,309.473,30537.333,2020-10-18 23:15:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,98.690,310.147,30604.667,2020-10-18 23:30:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000034,1,105.390,309.540,32623.333,2020-10-18 23:30:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000034,1,105.390,310.987,32772.667,2020-10-18 23:45:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000035,1,98.690,311.600,30750.000,2020-10-18 23:45:00.000,L2FT01-FTJ001,11.22,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000034,1,105.390,312.760,32959.333,2020-10-19 00:00:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000035,1,98.690,312.947,30884.667,2020-10-19 00:00:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000034,1,105.390,313.493,33039.333,2020-10-19 00:15:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000035,1,98.690,313.527,30942.667,2020-10-19 00:15:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000034,1,105.390,314.567,33149.333,2020-10-19 00:30:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000035,1,98.690,314.473,31037.333,2020-10-19 00:30:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000035,1,62.537,322.373,19976.000,2020-10-19 00:45:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000034,1,64.890,322.500,20754.545,2020-10-19 00:45:00.000,L2FT01-FTJ001,12.00,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
2020-10-19,589179428,20190000000000000003,900200000000000035,1,15.890,338.300,5370.000,2020-10-19 01:00:00.000,L2FT01-FTJ001,12.78,0.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,南山区,23,23,0,0,0,0,1
